Value,Count,Class_Name,Group,Species
0,58435408,No data,0,No data
2,234433,Recent burns,0,Recent burns
4,1184921,Cedar Elfin Wood,0,Cedar Elfin Wood
5,9794,Maple,1,Other
6,39551,Linden,1,Other
7,499540,Aspen,2,Populus tremula
8,2723260,Birch,3,Betula sp.
9,239897,Betula ermanii,3,Betula sp.
10,16150,Beech,1,Other
11,227732,Oak,1,Other
12,2445511,"Larch, sparse",4,Larch sp.
13,5975125,Larch,4,Larch sp.
14,2866484,Pine,5,Pinus sylvestris
15,966117,Siberian Pine,6,Pinus sibirica
16,167610,Fir,7,Abies sibirica
17,1569432,Spruce,8,Picea obovata
18,1989536,Grasslands,0,Grasslands
19,510433,Steppe,0,Steppe
20,161104,Needle-leaf evergreen shrubs,9,Pinus pumila
21,482871,Deciduous shrubs,0,Deciduous shrubs
22,1591152,Prostrate shrub tundra,0,Prostrate shrub tundra
23,3026781,Sedge tundra,0,Sedge tundra
24,2353374,Shrub tundra,0,Shrub tundra
25,3183991,Bogs,0,Bogs
26,204456,Riparian vegetation,0,Riparian vegetation
27,36459,Recent burns,0,Recent burns
28,1423808,Croplands,0,Croplands
29,627489,Water,0,Water
30,1437086,Bare soil and rock,0,Bare soil and rock
31,27179,Urban,0,Urban
32,1137566,"Non forest, unclassified",0,"Non forest, unclassified"
